序号,贴图名称,对应内容/装备,尺寸(宽×高),英文生成提示词
11,Projectiles/EndLord.png,终焉之主｜弹幕,40x40,"A detailed end lord minion (终焉之主). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
12,Projectiles/EndLordBeam.png,终焉死光｜弹幕,40x40,"A detailed end lord deathray (终焉死光). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
13,Projectiles/EndWhipProjectile.png,终焉鞭｜弹幕,28x28,"A detailed end whip (终焉鞭). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
14,Buffs/EndLordBuff.png,终焉之主｜增益/减益图标,32x32,"A detailed end lord buff icon (终焉之主). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
15,Items/Weapons/EndStarfall.png,终焉星陨｜物品图标,56x30,"A detailed end starfall cannon (终焉星陨). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 56x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
16,Items/Weapons/EndCodex.png,终焉法典｜物品图标,40x40,"A detailed end codex (终焉法典). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
17,Items/Weapons/EndLordStaff.png,终焉之主法杖｜物品图标,40x40,"A detailed end lord summoning staff (终焉之主法杖). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
18,Items/Weapons/EndWhip.png,终焉鞭｜物品图标,40x40,"A detailed end whip (终焉鞭). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
19,Projectiles/StellarBlade.png,星渊飞剑｜弹幕,30x30,"A detailed stellar flying sword (星渊飞剑). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
20,Projectiles/EndMeteor.png,终焉陨石｜弹幕,30x30,"A detailed end meteor (终焉陨石). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
21,Projectiles/EndVoidSlash.png,终焉震波｜弹幕,40x40,"A detailed end void slash shockwave (终焉震波). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
22,Projectiles/EndLaserWave.png,终焉激光冲击波｜弹幕,40x40,"A detailed end laser shockwave (终焉激光冲击波). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
23,Items/Materials/VoidOre.png,虚空矿石｜物品图标,20x20,"A detailed void ore chunk (虚空矿石). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
24,Items/Materials/VoidBar.png,虚空锭｜物品图标,28x28,"A detailed void ingot (虚空锭). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
25,Items/Materials/VoidBlock.png,虚空块｜物品图标,20x20,"A detailed void block (虚空块). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
26,Items/Materials/VoidWallItem.png,虚空墙｜物品图标,24x24,"A detailed void wall panel (虚空墙). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 24x24 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
27,Tiles/VoidOreTile.png,虚空矿｜可放置方块,16x16,"A detailed void ore tile (虚空矿). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 16x16 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
28,Tiles/VoidBlockTile.png,虚空块｜可放置方块,16x16,"A detailed void block tile (虚空块). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 16x16 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
29,Tiles/VoidAltarTile.png,归墟祭坛｜可放置方块,32x32,"A detailed void altar tile (归墟祭坛). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 32x32 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
30,Walls/VoidWall.png,VoidWall｜墙,16x16,"A detailed void wall pattern (VoidWall). This is a wall surface texture: a seamless repeating pattern with subtle depth, continuing infinitely in all directions with no visible seams.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 16x16 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
31,NPCs/VoidCrawler.png,虚空爬行者｜敌人/Boss,28x28,"A detailed void crawler insect monster (虚空爬行者). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
32,NPCs/VoidGazer.png,虚空之眼｜敌人/Boss,30x30,"A detailed void gazer floating eye (虚空之眼). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
33,Projectiles/VoidBolt.png,虚空弹｜弹幕,14x14,"A detailed void bolt (虚空弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 14x14 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
34,Projectiles/VoidBullet.png,虚空子弹｜弹幕,10x10,"A detailed void bullet (虚空子弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 10x10 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
35,Projectiles/VoidWisp.png,虚空小精灵｜弹幕,22x22,"A detailed void wisp minion (虚空小精灵). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 22x22 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
